49895-49895,4
82568-54237,14
53342-53342,1
50514-50495,1
54602-54602,301
89854-89854,10
57836-54193,53
158782-158782,6
48604-48604,3
53458-53458,1
117351-117351,6
48257-48257,72
53143-52592,2
50338-50338,26
64264-64264,11
103166-103166,35
63381-52370,20
49159-49142,30
82279-53721,8
53204-52026,2
52211-52211,38
57239-57239,16
69361-143921,1
89934-89934,3
56054-52686,1
74854-74854,7
88724-88724,187
50815-48727,5
52052-52052,6
54920-54920,593
141840-141840,9
53464-51171,26
69119-69119,25
56205-54237,8
143860-140357,6
118174-118174,1
56085-52010,10
48404-46859,1
158975-158975,14
160750-160750,1
54453-48727,403
53138-50105,56
57502-48727,40
74789-50999,1
57890-48351,2
81695-81695,2
63392-50975,73
51487-50371,64
82636-82636,136
55117-101263,4
51088-51088,11
102006-102006,5
75297-54914,11
74904-47502,3
55884-55884,26
81463-81422,15
50872-50514,1
54992-46593,1
140526-140526,21
116898-116898,3
57721-48509,9
75292-64154,22
74756-74756,11
81269-102769,8
47234-47234,2
53377-53377,4
55682-55682,254
54250-50708,5
54884-53707,96
81507-81501,53
81310-81310,1
46676-46627,2
90217-47064,2
64485-46558,7
56400-56400,138
54737-46907,1
48082-48082,47
56865-49962,4
53760-53760,6
56236-51396,23
102706-102706,19
54914-111353,8
81451-81441,56
68956-68956,5
54359-48942,10
141341-141341,5
101543-101543,2
55667-55667,116
111092-111092,1
64326-64326,2
49743-49743,6
81596-75645,2
54512-47502,32
81642-81501,96
54632-158792,19
161078-161018,16
54815-54815,10
89554-89286,9
89619-89448,10
49390-141082,8
55094-55094,61
140130-140130,89
51680-51680,8
64235-54870,8
55487-55487,2
54002-48727,6
53960-48727,140
46978-46549,12
74676-74676,2
51231-143642,2
103512-103512,18
54783-53851,10
140794-140794,4
52062-49595,3
103055-103055,1
48727-160127,4
53348-53348,51
55980-100880,6
54632-159447,5
158746-158746,3
82146-81838,9
143777-143777,2
52901-52901,702
53204-101822,281
142401-142401,13
50596-50596,98
55025-55025,1
111365-111365,3
47145-47145,7
81647-103437,4
69044-50282,37
51943-47006,17
53733-53733,2
49753-49753,207
55983-53099,6
69126-69126,2
81803-81803,4
55195-55195,1
48648-48648,5
141740-141740,4
54898-50514,2
52344-52344,38
46739-101225,5
52211-51900,37
159128-159128,3
50961-103089,5
82359-82359,9
89191-52059,2
50259-46930,17
89215-89215,2
69696-69696,7
52468-52468,2
111222-111222,21
82191-82191,4
57507-57468,14
159161-103051,10
48009-46804,21
159714-159714,5
88749-88724,501
81268-141260,4
49791-49550,12
161046-161046,20
141633-141633,4
54687-54687,1
69775-56400,48
159623-159623,18
48942-48727,3983
81388-81312,1
53201-52950,216
63955-110509,2
140773-140773,5
82058-82058,2
63381-54293,3
52592-47032,1
55682-52955,182
101284-101284,5
117119-117119,27
55482-55323,8
53204-53204,103
54237-48468,4
52419-52419,5
56177-110990,15
53324-52931,18
74925-74925,11
81623-81623,5
102928-102928,18
63883-63868,42
101881-101881,16
52729-52729,6
81557-64235,16
64362-64362,5
63512-63512,6
82749-82749,12
55470-52901,2
55368-51800,260
81268-100908,20
159720-159284,9
50371-111266,12
161230-161230,1
54263-52592,13
160018-160018,5
63381-52359,10
52973-52973,21
140416-140416,1
51284-51284,450
82568-46935,4
54863-54863,1
109674-109674,3
69210-102079,2
49504-49504,265
48154-48154,1
158886-158886,4
47432-101976,28
82469-82469,3
47176-47176,162
52142-52142,18
52097-52097,600
159142-159142,45
53496-50994,51
88634-48727,3
48169-47253,13
160538-160538,8
159195-159195,7
81441-81418,45
75648-53811,6
102463-102463,18
53816-53816,160
56400-54212,35
82154-82154,1
81495-63412,13
141294-141294,3
111204-110633,3
57263-50514,12
110297-110297,23
64466-64466,1
110711-110711,3
55376-51800,375
82705-82705,16
55875-49768,4
64154-64154,17
57890-55551,2
109860-109860,15
69496-56713,6
102589-102589,10
56554-56554,2
81463-81405,45
56318-54198,2
74925-140613,3
54929-47221,10
49575-47478,5
110943-102755,50
52394-52394,13
52410-52410,21
158706-158706,1
54627-54627,13
50999-101895,1
102304-102304,2
54312-53707,15
140532-140532,1
75006-141161,73
160528-160528,1
52071-52071,21
56742-56361,16
82709-82709,1
159768-159768,5
52426-52426,6
54442-52142,18
74907-74907,9
53640-53640,60
141667-141667,6
56220-53068,14
110910-110907,22
52432-52432,30
55308-52491,269
49925-117212,2
109613-101474,5
143216-143216,3
111204-111204,5
53296-53296,70
88634-57536,5
142332-142332,2
52475-52475,64
69746-69746,2
50646-49978,9
54571-141338,2
49995-49995,130
110784-110784,4
46463-141481,9
81468-81441,7
89448-48727,4
54312-47742,118
49453-48209,2
159223-159223,1
52030-50130,47
56310-56310,23
52936-52936,108
57818-48480,45
101995-101995,8
88646-88646,200
161061-111358,3
52855-52849,1
140694-140694,18
56602-56520,51
63917-63917,17
82862-82862,42
53151-48335,38
89572-51231,12
159942-159942,1
101410-101410,5
51216-51216,6
57425-47046,2
50487-50487,1
54884-103502,10
159889-159889,2
47974-158338,1
55875-55875,72
160135-160127,15
56043-52318,8
74714-74714,20
88714-88693,67
49778-49778,13
51868-48191,195
53417-52652,4
52670-47918,553
51999-51999,12
52901-160095,8
51605-51605,66
117558-117558,39
102547-102547,93
46873-46873,3
50282-50114,227
50282-50110,27
52022-48109,40
48385-161241,11
51082-51082,1
81380-50979,1
49550-49504,2
49791-49791,51
102965-102965,1
89716-140629,1
49995-49304,529
101869-101869,2
52592-48426,7
64514-142130,1
57826-53672,165
